date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-05-19,73.18,73.6,72.9,72.61,341583.22,0.7,0.97,72.58,73.074,72.789,321247.73,395445.67,478429.16,0.32
2020-05-20,73.0,73.19,72.95,72.5,274834.84,0.05,0.07,72.502,72.988,72.817,318420.63,360012.37,446986.93,0.25
2020-05-21,73.2,73.3,72.38,72.36,312686.22,-0.57,-0.78,72.532,72.903,72.761,311014.85,350968.7,429911.54,0.29
2020-05-22,72.06,72.1,70.12,70.1,577194.25,-2.26,-3.12,72.11,72.618,72.648,362952.24,368216.17,430322.03,0.53
2020-05-25,70.0,70.08,70.03,69.0,417101.16,-0.09,-0.13,71.676,72.231,72.546,384679.94,360350.55,432293.43,0.39
2020-05-26,70.99,71.0,70.51,70.32,271128.47,0.48,0.69,71.198,71.889,72.464,370588.99,345918.36,429366.55,0.25
2020-05-27,70.72,71.58,70.65,70.52,287152.12,0.14,0.2,70.738,71.62,72.471,373052.44,345736.54,410368.35,0.27
2020-05-28,70.68,71.99,71.51,70.68,414260.44,0.86,1.22,70.564,71.548,72.487,393367.29,352191.07,407004.98,0.38
2020-05-29,70.9,71.3,70.71,70.48,268441.16,-0.8,-1.12,70.682,71.396,72.403,331616.67,347284.45,389733.32,0.25
2020-06-01,71.4,72.23,72.16,71.23,457672.84,1.45,2.05,71.108,71.392,72.311,339731.01,362205.47,386059.15,0.42
2020-06-02,72.02,74.53,74.28,72.01,810523.25,2.12,2.94,71.862,71.53,72.302,447609.96,409099.48,402272.57,0.75
2020-06-03,75.0,76.69,75.01,75.0,991488.38,0.73,0.98,72.734,71.736,72.362,588477.21,480764.83,420388.6,0.92
2020-06-04,75.42,75.71,75.14,74.58,453880.22,0.13,0.17,73.46,72.012,72.458,596401.17,494884.23,422926.46,0.42
2020-06-05,75.14,75.44,75.3,74.4,349807.53,0.16,0.21,74.378,72.53,72.574,612674.44,472145.56,420180.86,0.32
2020-06-08,75.7,77.22,76.72,75.7,766974.5,1.42,1.89,75.29,73.199,72.715,674534.78,507132.89,433741.72,0.71
2020-06-09,76.73,77.18,76.5,76.32,388516.81,-0.22,-0.29,75.734,73.798,72.844,590133.49,518871.73,432395.04,0.36
2020-06-10,76.58,76.7,75.58,75.47,345452.91,-0.92,-1.2,75.848,74.291,72.956,460926.39,524701.8,435219.17,0.32
2020-06-11,75.21,75.47,74.22,73.8,586113.44,-1.36,-1.8,75.664,74.562,73.055,487373.04,541887.1,447039.09,0.54
2020-06-12,73.1,74.15,74.15,72.97,488258.72,-0.07,-0.09,75.434,74.906,73.151,515063.28,563868.86,455576.66,0.45
2020-06-15,73.68,73.78,72.54,72.45,551303.81,-1.61,-2.17,74.598,74.944,73.168,471929.14,573231.96,467718.71,0.51
2020-06-16,73.6,73.68,73.46,73.14,341905.12,0.92,1.27,73.99,74.862,73.196,462606.8,526370.14,467734.81,0.32
2020-06-17,73.2,73.38,73.01,72.6,325895.78,-0.45,-0.61,73.476,74.662,73.199,458695.37,459810.88,470287.86,0.3
2020-06-18,72.85,73.77,73.4,72.38,418632.0,0.39,0.53,73.312,74.488,73.25,425199.09,456286.06,475585.15,0.39
2020-06-19,73.44,74.09,73.42,73.0,635989.81,0.02,0.03,73.166,74.3,73.415,454745.3,484904.29,478524.92,0.59
2020-06-22,73.0,73.92,72.77,72.61,671831.44,-0.65,-0.89,73.212,73.905,73.552,478850.83,475389.98,491261.44,0.62
2020-06-23,72.5,72.6,71.96,71.67,779636.06,-0.81,-1.11,72.912,73.451,73.625,566397.02,514501.91,516686.82,0.72
2020-06-24,72.25,72.85,72.26,72.01,605136.31,0.3,0.42,72.762,73.119,73.705,622245.12,540470.25,532586.03,0.56
2020-06-29,72.07,72.26,71.01,70.8,714837.81,-1.25,-1.73,72.284,72.798,73.68,681486.29,553342.69,547614.9,0.66
2020-06-30,71.36,71.78,71.4,71.0,451503.16,0.39,0.55,71.88,72.523,73.715,644588.96,549667.13,556768.0,0.42
2020-07-01,71.59,73.5,73.5,71.2,967559.94,2.1,2.94,72.026,72.619,73.782,703734.66,591292.74,582262.35,0.89
2020-07-02,73.28,76.01,76.0,73.0,1474466.88,2.5,3.4,72.834,72.873,73.868,842700.82,704548.92,615459.53,1.36
2020-07-03,76.15,78.49,77.96,76.14,1703820.0,1.96,2.58,73.974,73.368,74.015,1062437.56,842341.34,651076.11,1.57
